id,price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,fl_floodzone,state_building,primary_energy_consumption_sqm,epc,heating_type,fl_double_glazing,cadastral_income
52999000,2550000,HOUSE,HOUSE,Flanders,Limburg,Maaseik,3950,51.1705667,5.5713944,1994.0,110,720.0,4,2,0,0,0,0,0,1,0,0,1,MISSING,188.0,B,MISSING,1,743.0
23428000,2100000,HOUSE,HOUSE,Wallonia,Luxembourg,Marche-en-Famenne,6940,50.337956,5.506383,2007.0,102,220.0,0,3,0,0,0,0,0,0,0,0,1,MISSING,234.0,C,PELLET,1,726.0
9479000,10450000,HOUSE,VILLA,Flanders,Antwerp,Antwerp,2930,51.3386856,4.5293434,1970.0,442,3763.0,4,4,0,0,1,0,0,1,0,0,0,MISSING,314.0,D,GAS,0,6147.0
34455000,2000000,HOUSE,HOUSE,Flanders,West Flanders,Brugge,8490,51.1794336,3.0833597,1935.0,164,627.0,4,3,0,0,0,1,0,0,0,0,0,GOOD,960.0,F,FUELOIL,1,480.0
1177000,1190000,HOUSE,HOUSE,Wallonia,Liège,Liège,4400,50.6032018,5.4822272,1918.0,93,90.0,2,2,0,0,1,1,25,0,0,0,1,GOOD,421.0,E,PELLET,1,215.0
32401000,5980000,HOUSE,HOUSE,Flanders,West Flanders,Oostend,8430,51.1611781,2.830043,1992.0,217,5862.0,4,3,0,0,0,0,0,1,5500,0,1,AS_NEW,322.0,D,ELECTRIC,0,685.0
29641000,2490000,HOUSE,HOUSE,Wallonia,Liège,Waremme,4287,50.7162068,5.025553,1960.0,113,887.0,4,3,0,0,0,1,20,1,772,0,1,TO_RENOVATE,657.0,G,FUELOIL,0,954.0
42325000,3500000,HOUSE,HOUSE,Flanders,West Flanders,Brugge,8020,51.0778928,3.1758385,1931.0,158,4792.0,0,5,0,0,0,0,0,0,0,0,0,MISSING,970.0,F,MISSING,1,396.0
15069000,3750000,HOUSE,HOUSE,Flanders,Limburg,Hasselt,3560,51.0134729,5.2068885,1962.0,171,1200.0,4,2,0,0,1,0,0,1,0,0,0,JUST_RENOVATED,203.0,C,GAS,1,587.0
47717000,1900000,HOUSE,HOUSE,Flanders,East Flanders,Oudenaarde,9660,50.7969625,3.7747825,1960.0,128,490.0,0,0,0,0,0,0,0,0,0,0,0,MISSING,346.0,D,GAS,1,388.0
16367000,1790000,HOUSE,HOUSE,Flanders,Flemish Brabant,Leuven,3350,50.8108749,5.0189375,1899.0,86,884.0,2,2,0,0,0,0,0,1,0,0,1,TO_RENOVATE,1177.0,F,FUELOIL,0,360.0
43703000,1640000,HOUSE,HOUSE,Wallonia,Liège,Liège,4040,50.6586095,5.6238621,1899.0,167,90.0,3,4,0,0,0,1,80,0,0,0,0,TO_BE_DONE_UP,412.0,E,GAS,1,384.0
14183000,3488100,HOUSE,MANSION,Flanders,Antwerp,Antwerp,2018,51.2027128,4.3919498,1875.0,223,135.0,2,6,0,0,0,0,0,0,0,0,1,TO_RENOVATE,471.0,E,MISSING,0,731.0
25319000,4990000,HOUSE,HOUSE,Wallonia,Walloon Brabant,Nivelles,1370,50.7609482,4.9003054,1850.0,224,1789.0,4,4,0,0,0,1,55,1,1560,0,0,GOOD,338.0,D,FUELOIL,0,471.0
61774000,2750000,HOUSE,HOUSE,Flanders,Flemish Brabant,Leuven,3271,51.0290986,4.9767383,1965.0,140,1072.0,4,3,0,0,0,1,30,0,0,0,0,GOOD,747.0,F,GAS,1,855.0
41192000,2850000,HOUSE,HOUSE,Wallonia,Liège,Liège,4340,50.7011525,5.4467955,1956.0,0,0.0,3,3,0,0,1,1,53,1,630,0,1,MISSING,388.0,E,FUELOIL,1,342.0
